Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
Industrial and Commercial Bank of China,6688.74,5350.99,6220.53,554830.98
Agricultural Bank of China,5923.76,4739.01,5509.1,491375.89
China Construction Bank,5558.38,4446.7,5169.29,461067.62
Bank of China,4803.51,3842.81,4467.26,398451.15
JPMorgan Chase,4002.81,3202.25,3722.61,332033.09
Bank of America,3261.52,2609.22,3033.21,270543.08
HSBC,2989.81,2391.85,2780.52,248004.74
BNP Paribas,2809.83,2247.86,2613.14,233075.4
Crédit Agricole,2693.58,2154.86,2505.03,223432.46
Mitsubishi UFJ Financial Group,2628.12,2102.5,2444.15,218002.55
Postal Savings Bank of China,2340.69,1872.55,2176.84,194160.24
Citigroup,2151.95,1721.56,2001.31,178504.25
Bank of Communications,2041.45,1633.16,1898.55,169338.28
SMBC Group,1977.18,1581.74,1838.78,164007.08
Wells Fargo,1929.85,1543.88,1794.76,160081.06
Banco Santander,1901.94,1521.55,1768.8,157765.92
Barclays,1900.67,1520.54,1767.62,157660.58
Mizuho Financial Group,1805.52,1444.42,1679.13,149767.88
Goldman Sachs,1675.97,1340.78,1558.65,139021.71
China Merchants Bank,1664.87,1331.9,1548.33,138100.97
Groupe BPCE,1646.53,1317.22,1531.27,136579.66
Société Générale,1601.74,1281.39,1489.62,132864.33
UBS,1563.32,1250.66,1453.89,129677.39
Japan Post Bank,1546.95,1237.56,1438.66,128319.5
Royal Bank of Canada,1513.86,1211.09,1407.89,125574.69
Toronto-Dominion Bank,1446.51,1157.21,1345.25,119988.0
Industrial Bank,1439.62,1151.7,1338.85,119416.48
Deutsche Bank,1436.15,1148.92,1335.62,119128.64
China CITIC Bank,1306.01,1044.81,1214.59,108333.53
Shanghai Pudong Development Bank,1296.31,1037.05,1205.57,107528.91
Crédit Mutuel,1252.1,1001.68,1164.45,103861.7
Morgan Stanley,1215.07,972.06,1130.02,100790.06
Lloyds Banking Group,1135.12,908.1,1055.66,94158.2
China Minsheng Bank,1070.68,856.54,995.73,88812.91
ING Group,1056.57,845.26,982.61,87642.48
Bank of Montreal,1014.36,811.49,943.35,84141.16
Scotiabank,978.47,782.78,909.98,81164.09
Intesa Sanpaolo,966.23,772.98,898.59,80148.78
China Everbright Bank,953.41,762.73,886.67,79085.36
NatWest Group,886.34,709.07,824.3,73521.9
ANZ Group,852.19,681.75,792.54,70689.16
Standard Chartered,849.69,679.75,790.21,70481.79
State Bank of India,846.64,677.31,787.38,70228.79
UniCredit,811.68,649.34,754.86,67328.86
Commonwealth Bank,809.81,647.85,753.12,67173.74
Banco Bilbao Vizcaya Argentaria,799.67,639.74,743.69,66332.63
Ping An Bank,790.41,632.33,735.08,65564.51
La Banque postale,766.91,613.53,713.23,63615.18
National Australia Bank,748.98,599.18,696.55,62127.89
Canadian Imperial Bank of Commerce,747.91,598.33,695.56,62039.13
Westpac,747.1,597.68,694.8,61971.95
DZ Bank,682.93,546.34,635.12,56649.04
U.S. Bancorp,678.32,542.66,630.84,56266.64
CaixaBank,653.28,522.62,607.55,54189.58
Rabobank,651.47,521.18,605.87,54039.44
Nordea,645.36,516.29,600.18,53532.61
Capital One,637.78,510.22,593.14,52903.85
DBS Group,606.13,484.9,563.7,50278.48
Huaxia Bank,599.59,479.67,557.62,49735.99
Commerzbank,574.23,459.38,534.03,47632.38
Bank of Beijing,574.14,459.31,533.95,47624.91
Norinchukin Bank,560.75,448.6,521.5,46514.21
PNC Financial Services,560.04,448.03,520.84,46455.32
Sberbank of Russia,557.48,445.98,518.46,46242.97
Bank of Jiangsu,541.41,433.13,503.51,44909.96
Truist Financial Corp,531.18,424.94,494.0,44061.38
Danske Bank,515.87,412.7,479.76,42791.42
KB Financial Group,513.01,410.41,477.1,42554.18
Shinhan Financial Group,500.77,400.62,465.72,41538.87
Nationwide Building Society,498.77,399.02,463.86,41372.97
Sumitomo Mitsui Trust Holdings,498.16,398.53,463.29,41322.37
China Guangfa Bank,494.93,395.94,460.28,41054.44
HDFC Bank,494.06,395.25,459.48,40982.28
Itaú Unibanco,492.9,394.32,458.4,40886.06
Resona Holdings,491.13,392.9,456.75,40739.23
Charles Schwab Corporation,479.84,383.87,446.25,39802.73
Oversea-Chinese Banking Corporation,458.0,366.4,425.94,37991.1
China Zheshang Bank,455.61,364.49,423.72,37792.85
Bank of Shanghai,442.06,353.65,411.12,36668.88
Hana Financial Group,431.78,345.42,401.56,35816.15
Bank of Ningbo,428.16,342.53,398.19,35515.87
Nonghyup Bank,419.37,335.5,390.01,34786.74
BNY Mellon,416.06,332.85,386.94,34512.18
ABN AMRO,411.66,329.33,382.84,34147.2
United Overseas Bank,393.97,315.18,366.39,32679.81
Banco do Brasil,393.52,314.82,365.97,32642.48
Woori Financial Group,393.34,314.67,365.81,32627.55
KBC Group,386.22,308.98,359.18,32036.95
Nomura Holdings,385.0,308.0,358.05,31935.75
Landesbank Baden-Württemberg,368.98,295.18,343.15,30606.89
Erste Group,366.22,292.98,340.58,30377.95
National Bank of Canada,365.25,292.2,339.68,30297.49
State Street Corporation,362.95,290.36,337.54,30106.7
Qatar National Bank,356.52,285.22,331.56,29573.33
Bank of Nanjing,355.03,284.02,330.18,29449.74
SEB Group,339.65,271.72,315.87,28173.97
Raiffeisen Group,337.25,269.8,313.64,27974.89
Banco Bradesco,331.96,265.57,308.72,27536.08
VTB Bank,330.43,264.34,307.3,27409.17
First Abu Dhabi Bank,330.32,264.26,307.2,27400.04
